content,published_at,likes,replies,mentioned_topics,additional_themes,attitude_towards_israel,attitude_towards_us,attitude_towards_qatar,attitude_towards_hamas,attitude_confidence,attitude_indicators,intelligence_score,intelligence_markers,insightfulness_score,insight_type,emotional_score
This strike couldn't have happened without the consent of both Qatar and the USA.,2025-09-15 19:52:41.975000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>]","['tacit approval/complicity', 'airspace sovereignty/permission', 'intelligence-sharing complicity']",,3.0,3.0,,0.72,"[""couldn't have happened without the consent of both Qatar and the USA"", 'Implicates US in enabling the strike', 'Implicates Qatar in permitting the strike']",2,['proper_grammar'],2,basic_opinion,2
"The collapse of the Middle East ceasefire leads to a decline in U.S. credibility, which in turn benefits Russia and China",2025-09-15 19:52:41.975000+00:00,0,0,"[<VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>]","['US credibility', 'Geopolitical competition', 'Russia/China advantage']",,3.0,,,0.85,"['decline in U.S. credibility', 'collapse of the Middle East ceasefire', 'benefits Russia and China']",3,"['proper_grammar', 'logical_structure', 'critical_analysis']",3,predictive_analysis,1
TBH it is a national embarrassment for Qatar 11:09,2025-09-15 19:52:41.975000+00:00,0,0,[<VideoTopic.QATAR: 'Qatar'>],['national humiliation'],,,3.0,,0.9,['it is a national embarrassment for Qatar'],2,['proper_grammar'],2,basic_opinion,3
"They are willing to do whatever they are green-lighted or even suggested to do by the US administration. The US is IN CHARGE of this conflict in a way that almost no press has even mentioned. it is astonishing considering how obvious it is. i am a patriotic AMERICAN CITIZEN. Period. it's just a fact. news much report the facts. not convenience. the dynamics here are all about AMERICAN HEGEMONY on a GLOBAL SCALE, and it is not even in the best  interests of the US imo, let alone the sheer destruction and disregard for human life outside of the nation 8:05

this is COLD geopolitical analysis, not a POLITICAL or IDEOLOGICAL point either. I am looking at the moves of the nations as INDIVIDUALS or LEADERSHIP first, period. to go the moral route is to blind yourself to the even MORE INSIDIOUS nature of the conflict, which stretches beyond just the devastation withing an area the size of the city of DETROIT",2025-09-15 19:52:41.975000+00:00,0,0,"[<VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>]","['media criticism/bias', 'American hegemony/imperialism', 'realpolitik vs moral framing']",5.0,3.0,,,0.7,"['They are willing to do whatever they are green-lighted or even suggested to do by the US administration', 'The US is IN CHARGE of this conflict', 'the dynamics here are all about AMERICAN HEGEMONY on a GLOBAL SCALE', 'it is not even in the best interests of the US imo, let alone the sheer destruction and disregard for human life outside of the nation', 'this is COLD geopolitical analysis, not a POLITICAL or IDEOLOGICAL point']",3,"['logical_structure', 'nuanced_thinking', 'critical_analysis']",3,systemic_critique,4
your animation did not show the US tankers that refueled the Israeli jets after they launched the strikes.,2025-09-15 19:52:41.975000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.F35_AIRCRAFT: 'F-35 aircraft'>]","['aerial refueling logistics', 'media/visual omission', 'implied US complicity']",5.0,4.0,,,0.35,['your animation did not show the US tankers that refueled the Israeli jets'],3,"['proper_grammar', 'domain_knowledge', 'critical_analysis']",2,factual_correction,2
Why didn’t our pals the Saudis let us know?,2025-09-15 19:52:41.975000+00:00,0,0,"[<VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>]","['Saudi-US alliance', 'intelligence sharing', 'regional complicity']",,5.0,,,0.35,"['our pals the Saudis', 'Why didn’t ... let us know?']",2,"['proper_grammar', 'critical_analysis']",2,basic_opinion,2
"what this truly is, would be the United States violating the sovereignty of Qatar by ALLOWING Israel to pursue this. Make no mistake. Netanyahu is a few TRUMP TWEETS away from being DEPOSED by his own people. this does not begin with Trump II, no, the Biden admin in 2023 and 24 essentially green-lighted this hyper-aggressive campaign. In fact, Biden was more apologetic and conciliatory to the Israeli's than even Trump has so far. But with Trump, that has to do with ego, in part. The fact that the US is basically have vassal states run a random obstacle course is crazy and as an american i don't even now how to feel about it. it is downright bizarre, yet perfectly understandable at once, and not in a support or resist sense, but in a scientific way",2025-09-15 19:52:41.975000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.TRUMP: 'Trump'>, <VideoTopic.NETANYAHU: 'Netanyahu'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['sovereignty violation', 'US hegemony/vassal states', 'partisan politics (Biden vs Trump)']",3.0,3.0,6.0,,0.78,"['United States violating the sovereignty of Qatar by ALLOWING Israel to pursue this', 'Biden admin in 2023 and 24 essentially green-lighted this hyper-aggressive campaign', ""Biden was more apologetic and conciliatory to the Israeli's than even Trump"", 'Netanyahu is a few TRUMP TWEETS away from being DEPOSED', 'The US is basically have vassal states run a random obstacle course']",3,"['critical_analysis', 'domain_knowledge', 'nuanced_thinking']",3,systemic_critique,4
"“When Israel perceives a threat to its security…” this says all you need to know about the channel, it’s a western mouthpiece, Israel didn’t strike because it feels threatened, it attacked to derail any peace talks so they could continue their ethnic cleansing of the Palestinians. This channel is basically BBC with a lower budget.",2025-09-15 19:52:41.975000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>]","['media bias/propaganda', 'ethnic cleansing allegations', 'sabotage of peace process']",2.0,,,,0.9,"['Israel didn’t strike because it feels threatened', 'attacked to derail any peace talks', 'continue their ethnic cleansing of the Palestinians', 'western mouthpiece', 'basically BBC with a lower budget']",2,"['proper_grammar', 'logical_structure']",2,counter_argument,4
"Yeah, you have F 15 EAGLES and you mount NO DEFENSE in the Red Sea scenario, I DO NOT BELIEVE THAT is plausible without Qatar knowing beforehand, itself, and it may have even if the jets used Saudi airspace. this is getting out of hand. the amount of sovereign encroachment and disregard is unlike anything i can recall short of the early cold war soviet period 6:45",2025-09-15 19:52:41.975000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.AIR_DEFENSE: 'Air defense systems'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['sovereignty violation', 'Qatar foreknowledge/complicity', 'regional escalation']",3.0,,5.0,,0.6,"['I DO NOT BELIEVE THAT is plausible without Qatar knowing beforehand', 'mount NO DEFENSE in the Red Sea scenario', 'even if the jets used Saudi airspace', 'this is getting out of hand', 'the amount of sovereign encroachment and disregard is unlike anything i can recall']",3,"['logical_structure', 'domain_knowledge', 'critical_analysis']",3,counter_argument,4
"in this scenario, the attack would have been detected LONG BEFOREHAND in comparison. this scenario is implausible imo. not to mention, the missiles themselves, would still be using SAUDI AIRSPACE... 6:10
the saudis need to step it up if they want to be taken SERIOUSLY ON A GLOBAL SCALE BEYOND JUST PETROLEUM",2025-09-15 19:52:41.975000+00:00,0,0,"[<VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.AIR_DEFENSE: 'Air defense systems'>]","['Saudi airspace sovereignty', 'Plausibility of attack scenario', 'Regional credibility/power projection']",,,,,0.28,"['the attack would have been detected LONG BEFOREHAND', 'this scenario is implausible imo', 'the missiles themselves would still be using SAUDI AIRSPACE', 'the saudis need to step it up if they want to be taken SERIOUSLY ON A GLOBAL SCALE']",3,"['logical_structure', 'critical_analysis', 'domain_knowledge']",3,counter_argument,3
I have no tears for terrorists.,2025-09-15 19:52:41.975000+00:00,0,0,[<VideoTopic.HAMAS: 'Hamas'>],['anti-terrorism stance'],7.0,,,1.0,0.65,['no tears for terrorists'],2,['proper_grammar'],1,basic_opinion,3
"if they FIRED FROM SAUDI TERRITORY OMFG. MBS, STEP YOUR GAME UP. You will never be the dominant guy you want to be in the region or globally. You cannot allow some other nation to use your airspace to attack another gulf state, an emirate ffs!

See, this is why i say they fired from Saudi AIRSPACE... not international waters or even QATARI airspace... 4:45",2025-09-15 19:52:41.975000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['Saudi sovereignty/airspace control', 'Regional leadership/hegemony (MBS)', 'Speculation about flight path origins']",4.0,,7.0,,0.58,"['You cannot allow some other nation to use your airspace to attack another gulf state', 'if they FIRED FROM SAUDI TERRITORY OMFG', 'MBS, STEP YOUR GAME UP', 'they fired from Saudi AIRSPACE... not international waters or even QATARI airspace']",2,"['logical_structure', 'critical_analysis', 'domain_knowledge']",2,counter_argument,4
"I get they don't care about the actual people of Gaza and Palestine, and that has long been true, but for leaders such as MBS to barely say a thing or DO SOMETHING... considering SAUDI ARABIA does have capabilities... makes MBS look like a complete hypocrite, if this is truly the case. I am only going on available information. 

Saudi airspace!? You want to be the DOMINANT FORCE IN THE REGION, yet have ANOTHER NATION fly over your airspace in an action that breaches YOUR SAID RED LINES .... and you don't even comment .... MBS wants the nation to be a GLOBAL HUB for economics and tourism. In order to do that you must have SAFETY and SOVEREIGNTY and ISRAELI JETS over your airspace says YOU HAVE NEITHER 4:08",2025-09-15 19:52:41.975000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['Saudi sovereignty and airspace control', 'Leadership hypocrisy (MBS)', 'Regional power credibility vs. rhetoric']",4.0,,,,0.6,"['ISRAELI JETS over your airspace says YOU HAVE NEITHER [safety nor sovereignty]', 'an action that breaches YOUR SAID RED LINES', ""they don't care about the actual people of Gaza and Palestine"", 'You want to be the DOMINANT FORCE IN THE REGION, yet have ANOTHER NATION fly over your airspace']",3,"['proper_grammar', 'logical_structure', 'critical_analysis', 'evidence_based']",3,systemic_critique,4
"over Saudi airspace? okay, well MBS has some EXPLAINING TO DO... or he is full of it smh. i mean talk about hypocrisy if accurate. you want to be the center of the gulf world BEYOND just the GULF, and are investing huge sums of capital to do so.... yet you are not protecting YOUR OWN SOVEREIGN AIRSPACE after declaring it off-limits for use from any strike by the IDF against Hamas or Iran iirc. MBS better set it straight. SAUDI ARABIA wants to display an IMAGE OF SAFETY. Israeli fighter jets over saudi airspace does anything but achieve that 3:34",2025-09-15 19:52:41.975000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.AIR_DEFENSE: 'Air defense systems'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>]","['Saudi sovereignty and airspace control', 'Leadership credibility/hypocrisy (MBS)', 'Regional image and soft power']",5.0,,,,0.46,"['over Saudi airspace? okay, well MBS has some EXPLAINING TO DO', 'talk about hypocrisy if accurate', 'you are not protecting YOUR OWN SOVEREIGN AIRSPACE', 'after declaring it off-limits for use from any strike by the IDF against Hamas or Iran', 'Israeli fighter jets over saudi airspace does anything but achieve that']",3,"['logical_structure', 'critical_analysis']",3,systemic_critique,4
The terrorist kill innocent people Israel does not,2025-09-15 19:52:41.975000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.HAMAS: 'Hamas'>]","['moral absolutism', 'civilian casualties denial']",9.0,,,1.0,0.75,"['The terrorist kill innocent people', 'Israel does not']",1,[],1,basic_opinion,3
"Oh, I'm sure on some level all parties knew of this attack. we defiantly getting a different story from what actual happened. All these so-called peace talks never activly amount to anything besides a break to restock ammo. Humas leadership being using this tactic of hiding in other countries while their people struggle. For them to talk in good faith for a real solution isn't ever going to happen. Middel east countries need to public condemn Israel. They do realize that humas is more of a problem then there worth and their efforts just lead to lost blood and treasure that keeps the middle east in chaos.",2025-09-15 19:52:44.016000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['collusion/silent approval', 'distrust of media narratives', 'futility of peace talks']",3.0,,,3.0,0.78,"['all parties knew of this attack', 'so-called peace talks never actively amount to anything besides a break to restock ammo', 'Hamas leadership ... hiding in other countries while their people struggle', ""For them to talk in good faith ... isn't ever going to happen"", 'Middle east countries need to publicly condemn Israel']",2,['logical_structure'],2,basic_opinion,3
"Qatar is quite literally harbouring the Hamas leadership. What messenger, they are just agents of Hamas, nothing neutral or mediating about them. And big deal, this was what we said about them volleying rockets at Iran.",2025-09-15 19:52:44.016000+00:00,2,0,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>]","['Mediator neutrality', 'State harboring militants', 'Delegitimization of mediation']",,,2.0,3.0,0.72,"['Qatar is quite literally harbouring the Hamas leadership.', 'they are just agents of Hamas', 'nothing neutral or mediating about them', 'big deal']",2,['domain_knowledge'],2,basic_opinion,3
Oh poor Qatar why does everyone like Qatar is modern slavery just something we overlook or harboring terrorists sorry “negotiators” come on now shows how corrupt the world is Israel should’ve captured Cairo in 73 and kicked all the Arabs out in 48 but no negotiations are everything let’s sell our soul to the enemy,2025-09-15 19:52:44.016000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>]","['labor exploitation in Qatar', 'anti-Arab sentiment', 'rejection of negotiations']",10.0,,1.0,1.0,0.96,"['Oh poor Qatar why does everyone like Qatar', 'is modern slavery just something we overlook or harboring terrorists', 'sorry “negotiators”', 'Israel should’ve captured Cairo in 73', 'kicked all the Arabs out in 48']",1,[],1,basic_opinion,5
USA CENTRAL COMMAND IS NOT WASHINGTON DC....USA CENTRAL COMMAND IS ISRAEL,2025-09-15 19:52:44.016000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>]","['claims of foreign influence/control over US policy', 'military-industrial/security apparatus critique', 'conspiracy/puppet narrative']",2.0,3.0,,,0.86,"['USA CENTRAL COMMAND IS NOT WASHINGTON DC....USA CENTRAL COMMAND IS ISRAEL', 'Implied claim that the US military takes direction from Israel']",1,[],1,systemic_critique,4
I think Qatar's AA likely throttled by US in some way. Wonder if they now pivot away from West and go East?...,2025-09-15 19:52:44.016000+00:00,0,0,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.AIR_DEFENSE: 'Air defense systems'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['Geopolitical pivot to the East', 'US control over allied defense systems', 'Sovereignty vs. dependence']",,3.0,6.0,,0.7,"[""Qatar's AA likely throttled by US"", 'Wonder if they now pivot away from West and go East?']",3,"['proper_grammar', 'logical_structure', 'domain_knowledge', 'critical_analysis']",3,predictive_analysis,2
The Mid East is already broken,2025-09-15 19:52:44.016000+00:00,0,0,[],"['regional instability', 'fatalism']",,,,,0.9,"[""'already broken' (fatalistic view of the region)""]",2,['proper_grammar'],2,basic_opinion,2
ISEWEL must 4TT4CK in QATAR Summit Because They Want to Create ISLAMIC World United M1L1TARY.. 😛😛😁😁🤣🤣💪🏼💪🏼💥💥,2025-09-15 19:52:44.016000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>]","['pan-Islamic military alliance claim', 'advocacy of preemptive attack']",9.0,,1.0,,0.9,"['ISEWEL must 4TT4CK in QATAR Summit', 'Because They Want to Create ISLAMIC World United M1L1TARY', 'use of celebratory emojis while advocating violence']",1,[],1,basic_opinion,5
"What Israel can go through? US, and Jordan or even Saudi Arabia may has provide the go ahead without Qatar knowing it.",2025-09-15 19:52:44.016000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['airspace/overflight permissions', 'regional complicity', 'plausible deniability/secrecy']",5.0,5.0,5.0,,0.44,"['US, and Jordan or even Saudi Arabia may has provide the go ahead', 'without Qatar knowing it', 'What Israel can go through?']",2,"['logical_structure', 'domain_knowledge', 'nuanced_thinking', 'critical_analysis']",3,basic_opinion,2
"The leadership of Qatar should start building a league to invade Israel, because what the fuck. They'd lose, but still tho.",2025-09-15 19:52:44.016000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>]","['military escalation', 'coalition-building', 'anti-Israel sentiment']",2.0,,7.0,,0.84,"['should start building a league to invade Israel', 'because what the fuck', ""They'd lose, but still tho.""]",2,['proper_grammar'],1,basic_opinion,4
this is attack really isnt a big deal. Qatar knew about the attack and israel just bombed a building where hamas delegates were Located. now qatar will remove all association with hamas and no more attacks will happen. Qatar will probably never mediate anything ever again. qatar has no choice its a small sell out rich nation.weak spineless arabs elites who reside over a immigrant slave class. all the gulf arabs are basically sell outs except for maybe oman,2025-09-15 19:52:44.016000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>]","['Derogatory generalizations about Gulf Arab elites', 'Migrant labor exploitation in Gulf states', 'Prediction Qatar will sever ties with Hamas']",7.0,,1.0,4.0,0.78,"['this attack really isnt a big deal', 'israel just bombed a building where hamas delegates were Located', 'Qatar knew about the attack', 'qatar has no choice its a small sell out rich nation', 'weak spineless arabs elites who reside over a immigrant slave class']",2,['logical_structure'],2,predictive_analysis,5
"Hamas = genocidal  bloodthirsty terrorist who follow no rules other than a sworn nightmare to kill all Jews living in Israel.   Their death makes the world safer by sending a message to any would be medieval,  intolerant dictatorial religious fanatics the world over that hostage taking does not pay.  Their survival puts the free liberal world at risk.  Lets not forget who the bad guys are here.",2025-09-15 19:52:44.016000+00:00,0,1,"[<VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.ISRAEL: 'Israel'>]","['terrorism and hostage-taking deterrence', 'defense of the liberal world order', 'moral polarization']",7.0,,,1.0,0.84,"['Hamas = genocidal bloodthirsty terrorist', 'Their death makes the world safer', 'hostage taking does not pay', 'Lets not forget who the bad guys are here']",2,['logical_structure'],2,basic_opinion,5
"it was not ""Strike on Qatar"", it was retaliation strike on hamas terrorists after they committed terrorist act in Jerusalem and murdered 6, wounded about 20 civilians",2025-09-15 19:52:44.016000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>]","['retaliation/self-defense', 'terrorism', 'civilian casualties']",7.0,,5.0,1.0,0.9,"['it was retaliation strike', 'on hamas terrorists', 'after they committed terrorist act in Jerusalem', 'murdered 6, wounded about 20 civilians', ""it was not 'Strike on Qatar'""]",3,"['logical_structure', 'evidence_based']",3,factual_correction,3
this is what happens when serial killers become Israeli PMs,2025-09-15 19:52:46.414000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.NETANYAHU: 'Netanyahu'>]","['War crimes accusation', 'Leadership morality', 'Dehumanizing language']",1.0,,,,0.95,"['serial killers', 'Israeli PMs', 'this is what happens']",1,[],1,basic_opinion,5
"Let this be a lesson to not buy US defense products and not trust US security guarantees or treaties. Qatar's air defense systems were bought from the US for millions/billions. These US systems are embedded with cyber backdoor that allows the US to render them into useless billion dollars paperweight, thus allowing Israel to enter Qatari airspace and bomb without triggering immediate air defense responses. Those foreign export F-35s also have the same critical flaw that allows the US absolute control over them, which is why many European nation customers have paused, reduce, or outright cancelled F-35 purchases. Qatar was a major non-NATO US ally with past major purchases of US military equipment worth billions and hosted US bases, and yet the US allowed an outside threat to attack Qatar with impunity -  without warning or notice, and without any major response to defend its ""ally"" and counterattack the attacking aggressor nation of Israel. The US also refuse to scramble fighters, troops, or air defense forces and equipment when Russian drones invaded Polish airspace, leaving Poland and Europe alone to scramble to intercept Russian drones before they could strike critical Polish targets. The world must learn that any deal, agreement, guarantee, or treaty made with the US is worthless and no different than any Russian guarantees of peace agreement to end the war in Ukraine.",2025-09-15 19:52:46.414000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.AIR_DEFENSE: 'Air defense systems'>, <VideoTopic.F35_AIRCRAFT: 'F-35 aircraft'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['Cyber backdoors/kill switches in exported weapons', 'Alliance credibility and security guarantees (NATO/US reliability)', 'F-35 procurement skepticism in Europe']",2.0,1.0,7.0,,0.88,"['Let this be a lesson to not buy US defense products and not trust US security guarantees or treaties.', 'US systems are embedded with cyber backdoor that allows the US to render them into useless billion dollars paperweight', 'the US allowed an outside threat to attack Qatar with impunity - without warning or notice', 'the attacking aggressor nation of Israel', 'any deal, agreement, guarantee, or treaty made with the US is worthless']",2,"['proper_grammar', 'logical_structure']",2,systemic_critique,4
ya i agree mostly likely doha knew about the attack hence why no air defense went off another instance of arab leaders selling out hamas.,2025-09-15 19:52:46.414000+00:00,0,0,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.AIR_DEFENSE: 'Air defense systems'>]","['Arab leadership betrayal', 'Complicity/foreknowledge']",,,2.0,7.0,0.72,"['doha knew about the attack', 'hence why no air defense went off', 'another instance of arab leaders selling out hamas']",2,"['logical_structure', 'critical_analysis']",2,basic_opinion,3
The remaining Ha.M.As leaders should go to The Graveyard of Empires and  asked them for amn (protection).,2025-09-15 19:52:46.414000+00:00,0,0,[<VideoTopic.HAMAS: 'Hamas'>],"[""Afghanistan as 'Graveyard of Empires'"", 'seeking safe haven/protection (aman)', 'sarcasm/mockery']",,,,3.0,0.62,"['The remaining Ha.M.As leaders', 'should go to The Graveyard of Empires', 'asked them for amn (protection)']",2,['domain_knowledge'],2,basic_opinion,3
This might actually end the Gaza conflict because Hamas’ leadership will have nowhere to go and will agree to step down from power in exchange for their lives,2025-09-15 19:52:46.414000+00:00,0,0,"[<VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>]","['leadership decapitation', 'safe haven removal', 'coerced resignation/surrender']",,,,3.0,0.58,"['Hamas’ leadership will have nowhere to go', 'will agree to step down from power in exchange for their lives']",3,"['proper_grammar', 'logical_structure']",3,predictive_analysis,2
"It is hard to believe either Saudi or Turkey would be able to stop Israeli attack on Hamas in Doha. Also, Doha might be fine with it give that it takes pressure to reach a deal off them",2025-09-15 19:52:46.414000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>]","['Regional power constraints', 'Strategic incentives', 'Mediation pressure relief']",6.0,,6.0,5.0,0.5,"['hard to believe either Saudi or Turkey would be able to stop Israeli attack on Hamas in Doha', 'Doha might be fine with it', 'it takes pressure to reach a deal off them']",3,"['logical_structure', 'nuanced_thinking', 'critical_analysis', 'domain_knowledge']",3,predictive_analysis,2
Bravo Israel! Cleanse the earth of the terrorists! 🇮🇱💪,2025-09-15 19:52:46.414000+00:00,2,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.HAMAS: 'Hamas'>]","['counterterrorism rhetoric', 'eradication language', 'moral absolutism']",10.0,,,1.0,0.98,"['Bravo Israel!', 'Cleanse the earth of the terrorists!', '🇮🇱💪 emoji signaling support']",1,['proper_grammar'],1,basic_opinion,5
Lost all credit for you guys after this one. If you think Israeli jets were allowed through Jordan and Saudi to bomb Qatar you don't know shit. And then you mention refuelling but only on the return leg..despite you doing a previous video on how Syrian and Lebanese airspace is now basically open.,2025-09-15 19:52:48.449000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['overflight permissions and flight-route feasibility', 'aerial refueling logistics/timing', 'consistency with channel’s prior claims about Syrian/Lebanese airspace']",5.0,,5.0,,0.62,"[""If you think Israeli jets were allowed through Jordan and Saudi to bomb Qatar you don't know shit."", 'And then you mention refuelling but only on the return leg', 'previous video on how Syrian and Lebanese airspace is now basically open', 'No explicit evaluative language toward Israel or Qatar; focus is on feasibility/logistics']",3,"['logical_structure', 'critical_analysis', 'domain_knowledge']",3,counter_argument,4
Even the Qataris don't want the palestinians. Interesting how no nation wants them. History has spoken.,2025-09-15 19:52:48.449000+00:00,1,0,[<VideoTopic.QATAR: 'Qatar'>],"['anti-Palestinian bias/xenophobia', 'refugee rejection and regional acceptance', 'historical determinism']",,,5.0,,0.35,"[""Even the Qataris don't want the palestinians"", 'no nation wants them', 'History has spoken']",2,['proper_grammar'],1,basic_opinion,3
